Degree,Count
1.0,60
2.0,147
3.0,295
4.0,422
5.0,576
6.0,674
7.0,767
8.0,812
9.0,873
10.0,970
11.0,1092
12.0,1131
13.0,1129
14.0,1143
15.0,1061
16.0,1098
17.0,1181
18.0,1149
19.0,1220
20.0,1122
21.0,1116
22.0,1021
23.0,1025
24.0,1040
25.0,939
26.0,941
27.0,921
28.0,863
29.0,796
30.0,800
31.0,818
32.0,740
33.0,717
34.0,736
35.0,628
36.0,682
37.0,577
38.0,529
39.0,523
40.0,475
41.0,509
42.0,430
43.0,422
44.0,414
45.0,406
46.0,390
47.0,366
48.0,369
49.0,322
50.0,310
51.0,307
52.0,270
53.0,252
54.0,251
55.0,246
56.0,214
57.0,215
58.0,220
59.0,185
60.0,200
61.0,196
62.0,164
63.0,172
64.0,143
65.0,135
66.0,145
67.0,134
68.0,128
69.0,132
70.0,128
71.0,103
72.0,113
73.0,103
74.0,104
75.0,109
76.0,77
77.0,78
78.0,87
79.0,75
80.0,72
81.0,79
82.0,68
83.0,69
84.0,87
85.0,69
86.0,70
87.0,54
88.0,46
89.0,71
90.0,47
91.0,47
92.0,54
93.0,52
94.0,47
95.0,53
96.0,51
97.0,45
98.0,51
99.0,54
100.0,44
101.0,43
102.0,35
103.0,39
104.0,41
105.0,36
106.0,40
107.0,49
108.0,32
109.0,35
110.0,40
111.0,32
112.0,30
113.0,31
114.0,34
115.0,36
116.0,28
117.0,29
118.0,22
119.0,23
120.0,26
121.0,19
122.0,29
123.0,21
124.0,25
125.0,18
126.0,26
127.0,22
128.0,21
129.0,20
130.0,14
131.0,14
132.0,17
133.0,15
134.0,14
135.0,15
136.0,12
137.0,23
138.0,16
139.0,13
140.0,18
141.0,10
142.0,16
143.0,16
144.0,15
145.0,19
146.0,11
147.0,21
148.0,22
149.0,14
150.0,15
151.0,10
152.0,4
153.0,13
154.0,10
155.0,15
156.0,8
157.0,7
158.0,9
159.0,8
160.0,9
161.0,12
162.0,9
163.0,3
164.0,10
165.0,16
166.0,9
167.0,8
168.0,6
169.0,11
170.0,9
171.0,7
172.0,5
173.0,9
174.0,10
175.0,11
176.0,4
177.0,4
178.0,6
179.0,5
180.0,9
181.0,9
182.0,9
183.0,4
184.0,6
185.0,7
186.0,11
187.0,10
188.0,6
189.0,9
190.0,3
191.0,2
192.0,4
193.0,6
194.0,7
195.0,7
196.0,6
197.0,5
198.0,3
199.0,4
200.0,3
201.0,4
202.0,3
203.0,4
204.0,5
205.0,6
206.0,4
207.0,8
208.0,3
209.0,1
210.0,4
211.0,4
212.0,2
213.0,1
214.0,8
215.0,7
216.0,7
217.0,6
218.0,9
219.0,5
220.0,6
221.0,4
222.0,3
223.0,2
224.0,3
225.0,2
226.0,2
227.0,3
228.0,2
229.0,2
230.0,3
231.0,5
232.0,4
233.0,4
234.0,4
235.0,2
236.0,5
237.0,1
238.0,5
239.0,3
241.0,3
242.0,1
243.0,5
245.0,2
246.0,3
248.0,1
249.0,5
250.0,2
251.0,2
253.0,1
254.0,1
255.0,1
256.0,2
257.0,3
258.0,1
259.0,1
260.0,2
261.0,3
262.0,2
263.0,1
265.0,3
266.0,1
268.0,2
269.0,2
270.0,4
271.0,4
273.0,2
274.0,2
275.0,4
276.0,2
277.0,1
279.0,1
281.0,2
282.0,1
283.0,1
284.0,1
285.0,1
286.0,3
287.0,3
288.0,1
289.0,1
290.0,4
292.0,2
293.0,1
294.0,1
295.0,3
297.0,2
298.0,1
299.0,4
300.0,1
302.0,1
305.0,1
306.0,1
307.0,2
308.0,3
309.0,1
310.0,1
312.0,1
317.0,1
318.0,1
319.0,1
321.0,1
322.0,1
323.0,3
324.0,1
325.0,1
329.0,1
330.0,1
331.0,1
332.0,1
336.0,1
337.0,1
339.0,2
340.0,1
341.0,1
343.0,2
345.0,1
358.0,1
361.0,1
364.0,1
367.0,1
368.0,1
379.0,1
380.0,1
390.0,1
392.0,1
396.0,1
398.0,2
401.0,2
403.0,1
406.0,1
411.0,1
420.0,1
423.0,1
424.0,1
428.0,1
430.0,2
433.0,1
435.0,1
442.0,1
447.0,1
452.0,1
459.0,1
462.0,1
494.0,1
497.0,1
501.0,1
515.0,1
518.0,1
523.0,1
527.0,1
539.0,1
553.0,1
656.0,1
692.0,1
1220.0,1
